ID,Gold,Silver,Bronze,nan
58877,0,0,1,0
62932,1,0,0,0
45044,0,0,0,1
91838,1,0,0,0
67301,0,0,0,1
4361,0,0,0,1
101993,0,0,0,1
95284,0,0,0,1
26134,0,0,0,1
129821,0,0,0,1
15454,0,0,0,1
59661,0,0,0,1
68979,0,0,0,1
23820,1,0,0,0
2608,0,0,0,1
131703,0,0,0,1
67048,0,0,0,1
123715,0,0,0,1
30493,0,0,0,1
48195,0,1,0,0
83302,0,0,0,1
7557,0,0,0,1
85036,0,0,0,1
126624,0,0,0,1
43090,0,0,0,1
76237,0,0,0,1
58843,0,0,1,0
5133,0,0,0,1
16976,0,0,0,1
36756,0,0,0,1
10004,0,0,0,1
109555,0,0,0,1
126119,0,0,0,1
42474,0,0,0,1
127122,0,0,0,1
4888,0,0,0,1
43838,0,0,0,1
28665,0,0,0,1
45140,0,1,0,0
70398,1,0,0,0
121942,0,0,0,1
61635,0,0,0,1
135072,0,0,0,1
82325,0,0,0,1
119548,0,0,0,1
29725,0,0,0,1
104009,0,0,0,1
79115,0,0,0,1
39017,0,0,0,1
94377,0,0,0,1
88918,0,0,0,1
37062,0,0,0,1
87767,0,0,0,1
116110,0,0,0,1
124496,0,0,0,1
110664,0,0,0,1
70677,0,0,1,0
65641,0,0,0,1
130442,0,0,0,1
90548,0,0,0,1
58041,0,0,0,1
96820,0,0,0,1
14731,0,0,0,1
114217,1,0,0,0
105384,0,0,0,1
66673,0,0,0,1
86206,0,0,0,1
72285,1,0,0,0
133434,0,0,0,1
66007,0,0,0,1
109180,0,0,0,1
108980,0,0,0,1
103435,0,0,1,0
1183,0,0,0,1
21313,0,0,0,1
128113,0,0,0,1
59700,0,0,0,1
168,0,0,0,1
108092,0,0,0,1
122346,0,0,0,1
2804,0,0,0,1
7695,0,0,0,1
22162,1,0,0,0
123296,0,0,0,1
97204,0,0,0,1
88978,0,0,1,0
94518,0,0,0,1
10801,0,0,0,1
99468,0,0,0,1
116412,0,0,0,1
106659,0,0,0,1
26505,0,0,0,1
43836,0,0,0,1
402,0,0,0,1
90342,0,0,0,1
22166,0,0,1,0
83670,0,0,0,1
49972,0,0,1,0
124313,0,0,0,1
41002,0,0,0,1
57158,0,0,0,1
52198,0,0,0,1
42583,0,0,0,1
102957,0,0,0,1
127137,0,0,0,1
6720,0,0,0,1
102357,1,0,0,0
102058,0,0,0,1
119894,0,0,1,0
115962,0,0,0,1
61839,0,0,0,1
133219,0,0,0,1
50990,0,0,0,1
46804,0,0,0,1
25036,1,0,0,0
100312,0,0,0,1
104966,0,0,0,1
70648,0,0,0,1
13228,0,0,0,1
116616,0,0,0,1
22415,0,0,0,1
121388,0,0,0,1
43067,0,0,0,1
32630,0,0,0,1
24822,0,0,0,1
66166,0,0,0,1
51665,0,0,0,1
28343,0,0,0,1
42434,0,0,0,1
92254,0,0,0,1
99212,0,0,0,1
16365,0,0,0,1
3020,0,0,0,1
98703,0,0,0,1
50938,0,0,0,1
44165,0,0,0,1
83083,0,0,0,1
107467,0,0,0,1
61253,0,0,0,1
34916,0,0,0,1
108754,0,0,0,1
53190,0,0,0,1
34900,1,0,0,0
99434,0,0,0,1
61528,0,0,0,1
15704,1,0,0,0
121083,0,0,1,0
45384,0,0,0,1
61051,0,0,0,1
109676,0,0,1,0
10496,0,0,0,1
92142,0,1,0,0
17694,0,0,0,1
68525,0,0,1,0
82597,0,0,0,1
94409,0,0,0,1
6430,0,0,0,1
93678,0,0,0,1
95591,0,0,0,1
9253,0,0,0,1
41634,0,0,0,1
3615,0,0,0,1
55303,0,0,0,1
81196,0,0,0,1
26368,0,0,0,1
14883,0,0,0,1
80158,0,0,0,1
34066,0,0,0,1
129150,0,0,1,0
59724,0,0,0,1
60006,0,0,0,1
47517,0,0,0,1
37447,0,0,0,1
63970,0,0,0,1
90529,0,0,0,1
19474,0,0,0,1
7430,0,0,0,1
70457,0,0,0,1
103790,0,0,0,1
62785,0,0,0,1
54029,0,0,0,1
56652,0,0,0,1
85335,0,0,0,1
116315,0,0,0,1
77380,0,0,0,1
6881,0,1,0,0
96637,0,0,0,1
28487,0,0,0,1
66280,0,0,0,1
75657,0,0,0,1
9247,0,1,0,0
9893,0,0,0,1
52609,1,0,0,0
117356,0,0,1,0
24477,0,0,0,1
65371,0,0,0,1
84011,0,0,0,1
43708,0,0,1,0
130671,0,1,0,0
87115,0,0,0,1
101211,0,0,1,0
119577,0,0,0,1
76810,0,0,0,1
104867,0,0,0,1
9209,0,1,0,0
99155,0,0,0,1
19636,0,1,0,0
51708,0,0,0,1
69093,0,0,1,0
